RNA_sample,Lysate_sample,Fraction,Time,Temperature,Biorep,Strain,Treatment_group,Treatment_group_ID,Treatment,Treated,Experiment,Sequencing_date,Sample_search,FastQ_folder,UMI,gtf_file,star_index_folder,kallisto_index,sbatch_template,snakefile,kallisto_direction,R1,R2,R3,R1_path,R2_path,R3_path,sequencing_group,spike_group
FW18,L11,Sup,10min,30C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW18,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW18_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW18_R1.fastq.gz,NA,NA,A,none
FW19,L11,Pellet,10min,30C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW19,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW19_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW19_R1.fastq.gz,NA,NA,A,none
FW21,L12,Total,10min,42C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW21,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW21_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW21_R1.fastq.gz,NA,NA,A,none
FW22,L12,Sup,10min,42C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW22,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW22_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW22_R1.fastq.gz,NA,NA,A,none
FW23,L12,Pellet,10min,42C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW23,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW23_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW23_R1.fastq.gz,NA,NA,A,none
FW25,L13,Total,10min,46C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW25,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW25_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW25_R1.fastq.gz,NA,NA,A,none
FW26,L13,Sup,10min,46C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW26,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW26_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW26_R1.fastq.gz,NA,NA,A,none
FW27,L13,Pellet,10min,46C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW27,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW27_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW27_R1.fastq.gz,NA,NA,A,none
HG049,L31,Total,10min,30C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG49,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG49_S49_R1_001.fastq.gz,AD-JB-1S-HG49_S49_R2_001.fastq.gz,AD-JB-1S-HG49_S49_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG49_S49_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG49_S49_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG49_S49_R3_001.fastq.gz,B,nanoluc
HG050,L32,Total,10min,46C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG50,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG50_S50_R1_001.fastq.gz,AD-JB-1S-HG50_S50_R2_001.fastq.gz,AD-JB-1S-HG50_S50_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG50_S50_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG50_S50_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG50_S50_R3_001.fastq.gz,B,nanoluc
HG051,L33,Total,10min,30C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG51,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG51_S51_R1_001.fastq.gz,AD-JB-1S-HG51_S51_R2_001.fastq.gz,AD-JB-1S-HG51_S51_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG51_S51_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG51_S51_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG51_S51_R3_001.fastq.gz,B,nanoluc
HG052,L34,Total,10min,46C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG52,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG52_S52_R1_001.fastq.gz,AD-JB-1S-HG52_S52_R2_001.fastq.gz,AD-JB-1S-HG52_S52_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG52_S52_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG52_S52_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG52_S52_R3_001.fastq.gz,B,nanoluc
HG053,L31,Sup,10min,30C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG53,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG53_S53_R1_001.fastq.gz,AD-JB-1S-HG53_S53_R2_001.fastq.gz,AD-JB-1S-HG53_S53_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG53_S53_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG53_S53_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG53_S53_R3_001.fastq.gz,B,nanoluc
HG054,L32,Sup,10min,46C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG54,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG54_S54_R1_001.fastq.gz,AD-JB-1S-HG54_S54_R2_001.fastq.gz,AD-JB-1S-HG54_S54_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG54_S54_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG54_S54_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG54_S54_R3_001.fastq.gz,B,nanoluc
HG055,L33,Sup,10min,30C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG55,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG55_S55_R1_001.fastq.gz,AD-JB-1S-HG55_S55_R2_001.fastq.gz,AD-JB-1S-HG55_S55_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG55_S55_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG55_S55_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG55_S55_R3_001.fastq.gz,B,nanoluc
HG056,L34,Sup,10min,46C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG56,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG56_S56_R1_001.fastq.gz,AD-JB-1S-HG56_S56_R2_001.fastq.gz,AD-JB-1S-HG56_S56_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG56_S56_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG56_S56_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG56_S56_R3_001.fastq.gz,B,nanoluc
HG057,L31,Pellet,10min,30C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG57,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG57_S57_R1_001.fastq.gz,AD-JB-1S-HG57_S57_R2_001.fastq.gz,AD-JB-1S-HG57_S57_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG57_S57_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG57_S57_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG57_S57_R3_001.fastq.gz,B,nanoluc
HG058,L32,Pellet,10min,46C,BR1,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG58,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG58_S58_R1_001.fastq.gz,AD-JB-1S-HG58_S58_R2_001.fastq.gz,AD-JB-1S-HG58_S58_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG58_S58_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG58_S58_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG58_S58_R3_001.fastq.gz,B,nanoluc
HG059,L33,Pellet,10min,30C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG59,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG59_S59_R1_001.fastq.gz,AD-JB-1S-HG59_S59_R2_001.fastq.gz,AD-JB-1S-HG59_S59_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG59_S59_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG59_S59_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG59_S59_R3_001.fastq.gz,B,nanoluc
HG060,L34,Pellet,10min,46C,BR1,BY4741,CHX,tg_19,CHX,TRUE,SedSeq,220403,HG60,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG60_S60_R1_001.fastq.gz,AD-JB-1S-HG60_S60_R2_001.fastq.gz,AD-JB-1S-HG60_S60_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG60_S60_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG60_S60_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG60_S60_R3_001.fastq.gz,B,nanoluc
HG061,L35,Total,10min,30C,BR2,BY4741,CHX,tg_19,mock,FALSE,SedSeq,220403,HG61,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1S-HG61_S61_R1_001.fastq.gz,AD-JB-1S-HG61_S61_R2_001.fastq.gz,AD-JB-1S-HG61_S61_R3_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG61_S61_R1_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG61_S61_R2_001.fastq.gz,220403_A00639_1097_BH52KGDRX2-AD-JB-1s-cmp-reSEQ/FastQ/AD-JB-1S-HG61_S61_R3_001.fastq.gz,B,nanoluc
