target_id	length	eff_length	est_counts	tpm
YAL008W	597	398	173	15.6461
YAL007C	648	449	1610	129.069
YAL005C	1929	1730	71435.1	1486.31
YAL004W	648	449	5	0.400837
YAL003W	621	422	25384	2165.17
YAL002W	3825	3626	1028	10.2049
YAL001C	3483	3284	1633	17.8989
YAR002W	1620	1421	1504	38.0976
YAR002C-A	660	461	2680	209.256
YAR003W	1281	1082	151	5.02335
YAR007C	1866	1667	1977	42.6889
YAR008W	828	629	177	10.129
YAR009C	3591	3392	9043.26	95.9651
YAR010C	1323	1124	4137.97	132.515
YAR014C	2130	1931	1683	31.3723
YAR015W	921	722	1559	77.7236
YAR018C	1308	1109	571	18.5331
YAR019C	2925	2726	428	5.65148
YAR019W-A	333	134	0	0
YAR020C	168	1	0	0
YAR023C	540	341	47	4.96121
YAR027W	708	509	630	44.552
YAR028W	705	506	305	21.6967
YAR029W	225	26	10	13.8443
YAR030C	342	143	3	0.755143
YAR031W	897	698	114.594	5.9095
YAR033W	705	506	120	8.5364
YAR035W	2064	1865	128	2.47045
YAR035C-A	81	82	0	0
YAR042W	3567	3368	2630	28.1079
YAR047C	321	122	7	2.0653
YAR050W	4614	4415	116.09	0.946472
YAR053W	297	98	4	1.46919
YAR060C	336	137	12.5	3.28423
YAR061W	1006	807	0	0
YAR064W	300	101	0	0
YAR066W	612	413	0	0
YAR068W	486	287	0	0
YAR069C	294	95	0.5	0.189448
YAR070C	300	101	0	0
YAR071W	1404	1205	469.401	14.0217
YAR073W	1212	1013	7.76822	0.27603
YAR075W	474	275	0	0
YBL113C	2379	2180	151.016	2.49351
YBL113W-A	483	284	0	0
YBL112C	318	119	0	0
YBL111C	2004	1805	164.553	3.28151
YBL109W	336	137	0	0
YBL108C-A	129	130	0	0
YBL108W	306	107	0	0
YBL107W-A	105	106	0	0
YBL107C	591	392	162	14.8755
YBL106C	3033	2834	768	9.75451
YBL105C	3456	3257	1925	21.2744
YBL104C	3117	2918	1020	12.5823
YBL103C	1461	1262	436	12.4357
YBL102W	648	449	812	65.0959
YBL101C	3354	3155	844	9.62913
YBL100W-C	120	121	0	0
YBL100W-A	1317	1118	0	0
YBL100W-B	5313	5114	893.705	6.29039
YBL100C	315	116	0	0
YBL099W	1638	1439	10300	257.644
YBL098W	1383	1184	352	10.7013
YBL097W	2265	2066	210	3.65875
YBL096C	309	110	1	0.327229
YBL095W	813	614	332	19.4632
YBL094C	333	134	9	2.41759
YBL093C	663	464	720	55.8546
YBL092W	393	194	22683	4208.65
YBL091C-A	528	329	165	18.0523
YBL091C	1266	1067	2193	73.9807
YBL090W	534	335	367	39.4335
YBL089W	1380	1181	355	10.8199
YBL088C	8364	8165	2482	10.9418
YBL087C	414	215	10159.8	1700.95
YBL086C	1401	1202	542	16.2308
YBL085W	2943	2744	1886	24.7401
YBL084C	2277	2078	441	7.63901
YBL083C	426	227	129.201	20.4873
YBL082C	1377	1178	721.799	22.0554
YBL081W	1107	908	215.527	8.54398
YBL080C	1626	1427	225	5.67548
YBL079W	4509	4310	5927	49.4996
YBL078C	354	155	76	17.6492
YBL077W	432	233	3	0.463457
YBL076C	3219	3020	34283	408.617
YBL075C	1950	1751	746	15.3355
YBL074C	1068	869	263	10.8938
YBL073W	312	113	0	0
YBL072C	603	404	24231.5	2158.95
YBL071C-B	99	100	0	0
YBL071W-A	249	50	110	79.1893
YBL071C	309	110	1	0.327229
YBL070C	321	122	0	0
YBL069W	1290	1091	634.085	20.9203
YBL068W-A	237	38	25.9145	24.5473
YBL068W	981	782	893	41.1044
YBL067C	2244	2045	2033	35.7839
YBL066C	3447	3248	579	6.41662
YBL065W	345	146	2	0.493084
YBL064C	786	587	1004	61.5658
YBL063W	3336	3137	810	9.29425
YBL062W	381	182	0	0
YBL061C	2091	1892	1316	25.0368
YBL060W	2064	1865	253	4.88299
YBL059C-A	330	131	181	49.7338
YBL059W	582	383	120	11.2779
YBL058W	1272	1073	2481	83.2283
YBL057C	627	428	714	60.048
YBL056W	1407	1208	3220	95.9474
YBL055C	1257	1058	800	27.2175
YBL054W	1578	1379	712	18.5849
YBL053W	375	176	0	0
YBL052C	2496	2297	1134	17.7704
YBL051C	2007	1808	1756	34.9599
YBL050W	879	680	546	28.902
YBL049W	417	218	7	1.15581
YBL048W	312	113	2	0.637082
YBL047C	4146	3947	9728	88.7157
YBL046W	1326	1127	234	7.47371
YBL045C	1374	1175	2760	84.5503
YBL044W	369	170	6	1.27042
YBL043W	774	575	57	3.56822
YBL042C	1920	1721	1961	41.0148
YBL041W	726	527	1527	104.297
YBL040C	660	461	1005	78.471
YBL039W-B	180	1	0	0
YBL039C	1740	1541	6727	157.131
YBL039C-A	84	85	0	0
YBL038W	699	500	440	31.6757
YBL037W	3078	2879	1303	16.291
YBL036C	774	575	815	51.0192
YBL035C	2118	1919	1011	18.9636
YBL034C	4542	4343	1564	12.9626
YBL033C	1038	839	594	25.4841
YBL032W	1146	947	2114	80.3524
YBL031W	1017	818	337	14.8293
YBL030C	957	758	3004	142.651
YBL029C-A	285	86	157	65.7121
YBL029W	1131	932	60	2.31728
YBL028C	321	122	459	135.424
YBL027W	570	371	30315.6	2941.28
YBL026W	288	89	391	158.136
YBL025W	438	239	70	10.5425
YBL024W	2055	1856	4469	86.6715
YBL023C	2607	2408	1295	19.3579
YBL022C	3402	3203	6457	72.5635
YBL021C	435	236	88	13.4219
YBL020W	1725	1526	1330	31.3719
YBL019W	1563	1364	255	6.7293
YBL018C	402	203	155	27.484
YBL017C	4740	4541	7042	55.8198
YBL016W	1062	863	655	27.3196
YBL015W	1581	1382	1002	26.0978
YBL014C	2685	2486	1109	16.0574
YBL013W	1206	1007	135	4.82557
YBL012C	402	203	0	0
YBL011W	2280	2081	3242	56.077
YBL010C	843	644	95	5.30984
YBL009W	2031	1832	727	14.2841
YBL008W-A	240	41	0	0
YBL008W	2523	2324	886	13.7228
YBL007C	3735	3536	9636	98.0909
YBL006C	543	344	458	47.9238
YBL006W-A	150	151	0	0
YBL005W	2931	2732	880	11.5943
YBL005W-A	1323	1124	1471.64	47.1281
YBL005W-B	5268	5069	31497	223.662
YBL004W	7482	7283	16566	81.875
YBL003C	399	200	1942	349.513
YBL002W	396	197	3650	666.915
YBL001C	315	116	370	114.812
YBR001C	2343	2144	427	7.16881
YBR002C	861	662	452	24.5768
YBR003W	1422	1223	1057	31.1095
YBR004C	1302	1103	878	28.6525
YBR005W	642	443	444	36.0764
YBR006W	1494	1295	544	15.1207
YBR007C	2211	2012	608	10.8773
YBR008C	1647	1448	740	18.3953
YBR009C	312	113	2139.06	681.377
YBR010W	411	212	3060.54	519.644
YBR011C	864	665	20296	1098.58
YBR012C	420	221	43	7.00358
YBR012W-A	1323	1124	0	0
YBR012W-B	5271	5072	1764.58	12.5229
YBR013C	390	191	71	13.3804
YBR014C	612	413	548	47.7611
YBR015C	1794	1595	3517	79.3699
YBR016W	387	188	278	53.2269
YBR017C	2757	2558	4242	59.6917
YBR018C	1101	902	59	2.35445
YBR019C	2100	1901	12	0.227218
YBR020W	1587	1388	0	0
YBR021W	1902	1703	401	8.47567
YBR022W	534	335	187	20.0928
YBR023C	3498	3299	2856	31.1616
YBR024W	906	707	200	10.1825
YBR025C	1185	986	9253	337.792
YBR026C	1143	944	1153	43.9644
YBR027C	333	134	0	0
YBR028C	1578	1379	1062	27.7207
YBR029C	1374	1175	1309	40.1001
YBR030W	1659	1460	764	18.8358
YBR031W	1089	890	26909.7	1088.34
YBR032W	303	104	0	0
YBR033W	2760	2561	32	0.449764
YBR034C	1047	848	2615	110.999
YBR035C	687	488	1344	99.1342
YBR036C	1233	1034	2063	71.8163
YBR037C	888	689	384	20.0612
YBR038W	2892	2693	939	12.5509
YBR039W	936	737	3061	149.5
YBR040W	897	698	11	0.567259
YBR041W	2010	1811	1059	21.0485
YBR042C	1194	995	757	27.3853
YBR043C	2070	1871	696	13.39
YBR044C	1719	1520	554	13.1193
YBR045C	1920	1721	126	2.63532
YBR046C	1005	806	102	4.55522
YBR047W	528	329	67	7.33032
YBR048W	471	272	11273	1491.81
YBR049C	2433	2234	2691	43.3585
YBR050C	1017	818	50	2.20019
YBR051W	351	152	2	0.47362
YBR052C	633	434	1037	86.0069
YBR053C	1077	878	745	30.5426
YBR054W	1035	836	2664	114.702
YBR055C	2700	2501	1210	17.4147
YBR056W	1506	1307	1654	45.5516
YBR056W-A	201	2.1294	23	388.79
YBR056C-B	159	160	0	0
YBR057C	1101	902	608	24.2628
YBR058C	2346	2147	2005	33.6145
YBR058C-A	243	44	150	122.711
YBR059C	3327	3128	1994	22.9458
YBR060C	1863	1664	955	20.6583
YBR061C	933	734	694	34.0336
YBR062C	543	344	176	18.4161
YBR063C	1215	1016	569	20.1587
YBR064W	429	230	0	0
YBR065C	1095	896	514	20.649
YBR066C	663	464	358	27.7721
YBR067C	633	434	1791	148.542
YBR068C	1830	1631	4313	95.1852
YBR069C	1860	1661	5443	117.954
YBR070C	714	515	328	22.9251
YBR071W	636	437	503	41.4315
YBR072W	645	446	6555	529.032
YBR072C-A	162	1	0	0
YBR073W	2877	2678	3478	46.748
YBR074W	2931	2732	3440	45.3233
YBR076W	1065	866	17	0.706602
YBR076C-A	267	68	23	12.1748
YBR077C	489	290	243	30.1615
YBR078W	1290	1091	10975	362.096
YBR079C	2895	2696	10715	143.059
YBR080C	2277	2078	2737	47.4104
YBR081C	3999	3800	1680	15.9136
YBR082C	447	248	2964	430.2
YBR083W	1461	1262	888	25.3278
YBR084W	2928	2729	8707	114.844
YBR084C-A	570	371	19036.4	1846.95
YBR085W	924	725	130	6.4543
YBR085C-A	258	59	246	150.082
YBR086C	2841	2642	6954	94.7427
YBR087W	1065	866	894	37.159
YBR088C	777	578	1758	109.48
YBR089W	600	401	0	0
YBR089C-A	300	101	235	83.7511
YBR090C	369	170	156	33.0309
YBR091C	330	131	110	30.2249
YBR092C	1404	1205	5027.64	150.183
YBR093C	1404	1205	487.548	14.5638
YBR094W	2262	2063	1430	24.9506
YBR095C	1293	1094	597	19.6427
YBR096W	693	494	985	71.7717
YBR097W	4365	4166	1394	12.0445
YBR098W	2076	1877	425	8.15021
YBR099C	384	185	62	12.0632
YBR101C	873	674	4469	238.668
YBR102C	2262	2063	1047	18.268
YBR103W	1608	1409	532	13.5908
YBR103C-A	144	145	0	0
YBR104W	990	791	415	18.8849
YBR105C	1089	890	532	21.5162
YBR106W	567	368	6264	612.7
YBR107C	738	539	175	11.6867
YBR108W	2844	2645	611	8.31495
YBR109C	444	245	1826	268.274
YBR109W-A	225	26	19	26.3042
YBR110W	1350	1151	907	28.3646
YBR111C	696	497	1151	83.361
YBR111W-A	291	92	181	70.8166
YBR112C	2901	2702	3008.48	40.078
YBR113W	483	284	3	0.380231
YBR114W	2373	2174	508	8.41101
YBR115C	4179	3980	4812	43.5198
YBR116C	528	329	8.35405	0.913998
YBR117C	2046	1847	91.6459	1.78604
YBR118W	1377	1178	361879	11057.6
YBR119W	897	698	288	14.8519
YBR120C	489	290	116	14.3981
YBR121C	2004	1805	17634	351.656
YBR121C-A	159	160	0	0
YBR122C	534	335	556	59.7412
YBR123C	1950	1751	670	13.7731
YBR124W	360	161	0	0
YBR125C	1182	983	485	17.7596
YBR126C	1488	1289	4960	138.507
YBR126W-A	207	8	36	161.978
YBR126W-B	144	145	0	0
YBR127C	1554	1355	20431	542.743
YBR128C	1035	836	66	2.84172
YBR129C	987	788	455	20.784
YBR130C	1278	1079	1216	40.5654
YBR131W	2115	1916	451	8.47276
YBR131C-A	90	91	0	0
YBR132C	1791	1592	418	9.45099
YBR133C	2484	2285	1815	28.5913
YBR134W	402	203	0	0
YBR135W	453	254	411	58.2441
YBR136W	7107	6908	2468	12.8599
YBR137W	540	341	447	47.1843
YBR138C	1575	1376	284	7.42923
YBR139W	1527	1328	1835	49.7373
YBR140C	9279	9080	7885	31.2579
YBR141C	1014	815	266	11.7481
YBR141W-A	96	97	0	0
YBR142W	2322	2123	2496	42.3193
YBR143C	1314	1115	6969	224.978
YBR144C	315	116	0	0
YBR145W	1056	857	208	8.73628
YBR146W	837	638	1000	56.4187
YBR147W	891	692	37	1.9246
YBR148W	1830	1631	52	1.14761
YBR149W	1035	836	3483	149.965
YBR150C	3285	3086	1032.51	12.0432
YBR151W	951	752	2293	109.757
YBR152W	876	677	181	9.62352
YBR153W	735	536	266	17.8633
YBR154C	648	449	1596	127.947
YBR155W	1158	959	563	21.1317
YBR156C	2097	1898	590	11.1892
YBR157C	768	569	570	36.0584
YBR158W	1650	1451	5267	130.659
YBR159W	1044	845	1709	72.7997
YBR160W	897	698	791	40.7911
YBR161W	1131	932	388	14.9851
YBR162C	1368	1169	2142	65.9552
YBR162W-A	198	1.08033	110	3665.05
YBR163W	1758	1559	767	17.709
YBR164C	552	353	525	53.5339
YBR165W	834	635	355	20.1233
YBR166C	1359	1160	684	21.2247
YBR167C	423	224	107	17.1941
YBR168W	1242	1043	345	11.9064
YBR169C	2082	1883	3004	57.424
YBR170C	1743	1544	586	13.6614
YBR171W	621	422	873	74.4639
YBR172C	2223	2024	1694	30.1264
YBR173C	447	248	565	82.0051
YBR174C	315	116	2	0.620606
YBR175W	948	749	276	13.2639
YBR176W	939	740	343	16.6842
YBR177C	1356	1157	1466	45.6084
YBR178W	375	176	0	0
YBR179C	2568	2369	1050	15.954
YBR180W	1719	1520	11	0.260491
YBR181C	711	512	23020.4	1618.4
YBR182C	1359	1160	83	2.57552
YBR182C-A	195	1.00408	3	107.546
YBR183W	951	752	394	18.8592
YBR184W	1572	1373	126	3.30327
YBR185C	837	638	445	25.1063
YBR186W	1695	1496	5	0.120305
YBR187W	843	644	1643	91.8324
YBR188C	423	224	142	22.8184
YBR189W	588	389	30983.5	2866.98
YBR190W	312	113	1	0.318541
YBR191W	483	284	18158.9	2301.52
YBR191W-A	75	76	0	0
YBR192W	1134	935	302	11.6262
YBR193C	672	473	276	21.0035
YBR194W	372	173	77	16.021
YBR195C	1269	1070	517	17.3921
YBR196C	1665	1466	46116	1132.3
YBR196C-A	150	151	0	0
YBR196C-B	105	106	0	0
YBR197C	654	455	304	24.0495
YBR198C	2397	2198	1578	25.8418
YBR199W	1395	1196	2167	65.2187
YBR200W	1656	1457	939	23.198
YBR200W-A	165	1	0	0
YBR201W	636	437	168	13.838
YBR201C-A	204	5.00001	1	7.19902
YBR202W	2538	2339	2387	36.7338
YBR203W	2775	2576	259	3.61908
YBR204C	1128	929	357	13.8324
YBR205W	1215	1016	1929.16	68.3468
YBR206W	324	125	241.842	69.6412
YBR207W	1398	1199	914	27.4392
YBR208C	5508	5309	1346	9.12591
YBR209W	318	119	1	0.30248
YBR210W	429	230	191	29.8916
YBR211C	975	776	312	14.4723
YBR212W	2019	1820	1019	20.1533
YBR213W	825	626	184	10.58
YBR214W	1584	1385	877	22.7926
YBR215W	1878	1679	501	10.7407
YBR216C	2025	1826	661	13.03
YBR217W	561	362	105	10.4406
YBR218C	3543	3344	7104.23	76.4707
YBR219C	384	185	1.12673	0.219226
YBR220C	1683	1484	418.873	10.16
YBR221C	1101	902	5951	237.48
YBR221W-A	105	106	0	0
YBR222C	1632	1433	1706	42.8526
YBR223C	1635	1436	292	7.31935
YBR223W-A	120	121	0	0
YBR224W	516	317	10	1.13549
YBR225W	2703	2504	680	9.77504
YBR226C	411	212	0	0
YBR227C	1563	1364	612	16.1503
YBR228W	915	716	187	9.40097
YBR229C	2865	2666	2889	39.006
YBR230C	405	206	259	45.256
YBR230W-A	201	2.1294	7	118.327
YBR231C	912	713	88	4.4426
YBR232C	360	161	0	0
YBR233W	1242	1043	342	11.8028
YBR233W-A	285	86	69	28.8798
YBR234C	1155	956	2220	83.5871
YBR235W	3363	3164	790	8.98741
YBR236C	1311	1112	700	22.6588
YBR237W	2550	2351	601	9.20165
YBR238C	2196	1997	1754	31.6152
YBR239C	1590	1391	291	7.53026
YBR240C	1353	1154	38	1.18528
YBR241C	1467	1268	335	9.50976
YBR242W	717	518	536	37.246
YBR243C	1347	1148	676	21.1958
YBR244W	489	290	977	121.266
YBR245C	3390	3191	3268	36.8637
YBR246W	1164	965	856	31.9294
YBR247C	1452	1253	1787	51.3355
YBR248C	1659	1460	716	17.6524
YBR249C	1113	914	5816	229.046
YBR250W	1572	1373	33	0.865142
YBR251W	924	725	441	21.895
YBR252W	444	245	547	80.3647
YBR253W	366	167	168	36.2107
YBR254C	528	329	254	27.7896
YBR255W	2085	1886	413	7.88229
YBR255C-A	363	164	55	12.0715
YBR256C	717	518	1220	84.7762
YBR257W	840	641	279	15.6672
YBR258C	429	230	36	5.63402
YBR259W	2067	1868	542	10.444
YBR260C	2001	1802	1051	20.9938
YBR261C	699	500	807	58.0962
YBR262C	321	122	156	46.0266
YBR263W	1473	1274	5853	165.369
YBR264C	600	401	193	17.3244
YBR265W	963	764	906	42.6854
YBR267W	1182	983	1191	43.6116
YBR266C	453	254	1	0.141713
YBR268W	318	119	134	40.5324
YBR269C	417	218	291	48.0486
YBR270C	1638	1439	165	4.12731
YBR271W	1260	1061	473	16.0469
YBR272C	1443	1244	363	10.5034
YBR273C	1311	1112	800	25.8958
YBR274W	1584	1385	682	17.7247
YBR275C	5751	5552	1885	12.221
YBR276C	2424	2225	1269	20.5294
YBR277C	402	203	1	0.177316
YBR278W	606	407	200	17.688
YBR279W	1338	1139	1303	41.178
YBR280C	1914	1715	264	5.54095
YBR281C	2637	2438	1162	17.156
YBR282W	441	242	212	31.5329
YBR283C	1473	1274	5189	146.608
YBR284W	2394	2195	235	3.8537
YBR285W	435	236	15	2.28783
YBR286W	1614	1415	10272	261.302
YBR287W	1284	1085	2041	67.7107
YBR288C	1452	1253	1088	31.2552
YBR289W	2718	2519	874	12.489
YBR290W	966	767	494	23.1833
YBR291C	900	701	208	10.6804
YBR292C	372	173	1	0.208064
YBR293W	1425	1226	305	8.95475
YBR294W	2580	2381	4	0.0604707
YBR295W	3651	3452	577	6.01657
YBR296C	1725	1526	32	0.754813
YBR296C-A	120	121	0	0
YBR297W	1407	1208	134.329	4.00265
YBR298C	1845	1646	151	3.30211
YBR298C-A	222	23	0	0
YBR299W	1755	1556	60.3206	1.39541
YBR300C	498	299	3	0.361155
YBR301W	363	164	4.7149	1.03484
YBR302C	1140	941	947.714	36.252
YCL076W	744	545	0	0
YCL075W	441	242	0	0
YCL074W	927	728	0	0
YCL073C	1848	1649	0	0
YCL069W	1377	1178	0	0
YCL068C	783	584	0	0
YCL067C	633	434	175.667	14.5695
YCL066W	528	329	2.5	0.273519
YCL065W	369	170	0	0
YCL064C	1083	884	2712	110.429
YCL063W	1272	1073	610	20.4632
YCL061C	3291	3092	1128	13.1315
YCL059C	951	752	1598	76.4897
YCL058C	459	260	1	0.138443
YCL058W-A	342	143	8	2.01372
YCL057C-A	294	95	305	115.563
YCL057W	2139	1940	3795	70.4132
YCL056C	435	236	41	6.2534
YCL055W	1008	809	591	26.2956
YCL054W-A	87	88	0	0
YCL054W	2526	2327	2117	32.7468
YCL052C	1251	1052	901	30.8286
YCL051W	1752	1553	733	16.9893
YCL050C	966	767	3941	184.95
YCL049C	939	740	352	17.122
YCL048W-A	240	41	1	0.877931
YCL048W	1392	1193	6	0.181032
YCL047C	777	578	312	19.4299
YCL045C	2283	2084	5231	90.3506
YCL046W	324	125	0	0
YCL044C	1254	1055	282	9.62145
YCL043C	1569	1370	19372	508.977
YCL041C	495	296	34	4.13458
YCL042W	360	161	180	40.243
YCL040W	1503	1304	7490	206.751
YCL039W	2238	2039	389	6.86715
YCL038C	1587	1388	369	9.56932
YCL037C	1305	1106	2994	97.4408
YCL036W	1701	1502	781	18.7165
YCL035C	333	134	618	166.008
YCL034W	1065	866	823	34.2079
YCL033C	507	308	382	44.6433
YCL032W	1041	842	283	12.0981
YCL031C	894	695	1412	73.1297
YCL030C	2400	2201	5597	91.5333
YCL029C	1323	1124	576	18.4459
YCL028W	1218	1019	1926	68.034
YCL027W	1539	1340	413	11.094
YCL026C-B	582	383	109	10.2441
YCL026C-A	582	383	11	1.0338
YCL025C	1902	1703	356.089	7.52641
YCL023C	348	149	0	0
YCL024W	3114	2915	1017	12.5582
YCL022C	516	317	0	0
YCL021W-A	378	179	229	46.0497
YCL020W	1317	1118	0.218904	0.00704785
YCL019W	5313	5114	6625.94	46.637
YCL018W	1095	896	0	0
YCL017C	1494	1295	2393	66.5146
YCL016C	1143	944	285	10.8672
YCL014W	4911	4712	2575	19.6705
YCL012C	405	206	187	32.6752
YCL011C	1284	1085	1911	63.3979
YCL010C	780	581	486	30.1095
YCL009C	930	731	5153	253.739
YCL008C	1158	959	340	12.7616
YCL007C	393	194	4	0.742168
YCL005W-A	222	23	253	395.947
YCL005W	771	572	196	12.334
YCL004W	1566	1367	229	6.02991
YCL002C	792	593	411	24.9477
YCL001W	567	368	838	81.9672
YCL001W-A	462	263	5	0.684319
YCL001W-B	255	56	1	0.642771
YCR001W	315	116	0	0
YCR002C	969	770	1375	64.2771
YCR003W	552	353	225	22.9431
YCR004C	744	545	1711	113.005
YCR005C	1383	1184	2134	64.8764
YCR006C	474	275	76	9.94775
YCR007C	720	521	51	3.52352
YCR008W	1812	1613	2019	45.0553
YCR009C	798	599	2062	123.91
YCR010C	852	653	8	0.440982
YCR011C	3150	2951	3138	38.2761
YCR012W	1251	1052	84739	2899.42
YCR013C	648	449	17	1.36285
YCR014C	1749	1550	355	8.24405
YCR015C	954	755	302	14.3981
YCR016W	873	674	729	38.9324
YCR017C	2862	2663	4382	59.2305
YCR018C	666	467	589	45.3986
YCR018C-A	255	56	265	170.334
YCR019W	1092	893	262	10.5607
YCR020C	648	449	65	5.21088
YCR020C-A	267	68	55	29.1137
YCR020W-B	237	38	45	42.6258
YCR021C	999	800	12764	574.303
YCR022C	345	146	4	0.986169
YCR023C	1836	1637	828	18.2065
YCR024C	1479	1280	305	8.57697
YCR024C-B	267	68	1356	717.786
YCR024C-A	123	124	0	0
YCR025C	411	212	18	3.05619
YCR026C	2229	2030	915	16.2244
YCR027C	630	431	206	17.2042
YCR028C	1539	1340	150	4.02931
YCR028C-A	408	209	841	144.842
YCR030C	2613	2414	1257	18.7431
YCR031C	414	215	16915.1	2831.92
YCR032W	6504	6305	2277	12.9994
YCR033W	3681	3482	2717	28.087
YCR034W	1044	845	2010	85.6216
YCR035C	1185	986	1222	44.6106
YCR036W	1002	803	888	39.8054
YCR037C	2772	2573	1788	25.0133
YCR038C	1929	1730	258	5.36806
YCR038W-A	126	127	0	0
YCR039C	633	434	175.667	14.5695
YCR040W	528	329	2.5	0.273519
YCR041W	333	134	21	5.64103
YCR042C	4224	4025	846	7.56569
YCR043C	384	185	426	82.8861
YCR044C	1074	875	795	32.7042
YCR045C	1476	1277	15	0.422809
YCR045W-A	351	152	62	14.6822
YCR046C	510	311	362	41.8979
YCR047C	828	629	55	3.14743
YCR047W-A	207	8	0	0
YCR049C	447	248	0	0
YCR048W	1833	1634	1533	33.7702
YCR050C	309	110	0	0
YCR051W	669	470	780	59.7366
YCR052W	1452	1253	1761	50.5886
YCR053W	1545	1346	6271	167.701
YCR054C	1692	1493	723	17.431
YCR057C	2772	2573	3861	54.0137
YCR059C	777	578	599	37.3029
YCR060W	336	137	181	47.5556
YCR061W	1896	1697	491	10.4146
YCR064C	411	212	5	0.848942
YCR063W	474	275	71	9.2933
YCR065W	1695	1496	1096	26.3708
YCR066W	1464	1265	272	7.73967
YCR067C	3198	2999	2078	24.941
YCR068W	1563	1364	534	14.0919
YCR069W	957	758	1068	50.7161
YCR071C	441	242	210	31.2355
YCR072C	1548	1349	1066	28.4439
YCR073C	3996	3797	733	6.94876
YCR073W-A	948	749	368	17.6852
YCR075C	783	584	260	16.0252
YCR075W-A	228	29	22	27.3067
YCR076C	753	554	241	15.6585
YCR077C	2391	2192	3977	65.3069
YCR079W	1329	1130	188	5.98857
YCR081W	4284	4085	1435	12.6446
YCR081C-A	237	38	1	0.947241
YCR082W	387	188	836	160.064
YCR083W	384	185	326	63.4293
YCR084C	2142	1943	2949	54.6319
YCR085W	354	155	3	0.69668
YCR086W	573	374	157	15.1103
YCR087W	516	317	5	0.567747
YCR087C-A	462	263	395	54.0612
YCR088W	1779	1580	5615	127.92
YCR089W	4830	4631	458	3.55988
YCR090C	549	350	602	61.9117
YCR091W	2163	1964	227	4.16034
YCR092C	3057	2858	701	8.82876
YCR093W	6327	6128	8800	51.6902
YCR094W	1176	977	719	26.4898
YCR095C	1089	890	502	20.3029
YCR095W-A	159	160	0	0
YCR096C	360	161	77.6667	17.3641
YCR097W	381	182	260	51.4217
YCR097W-A	267	68	0	0
YCR098C	1557	1358	39	1.03373
YCR099C	468	269	38	5.08482
YCR100C	951	752	99	4.73872
YCR101C	549	350	48	4.93648
YCR102C	1107	908	78.506	3.11215
YCR102W-A	198	1.08033	1	33.3187
YCR104W	375	176	5.74831	1.17563
YCR105W	1086	887	28	1.13626
YCR106W	2499	2300	694	10.8611
