ORF	gene	length.protein	classification	label	Length5UTR	Length3UTR	Length5UTR.est	Length3UTR.est	LengthTxEst	unspliced.CDS.length	LengthTxUnsplicedEst	ENA	SGD_ID	ncrna_classification	RNAcentral_ID	length.ncRNA
YAL066W	NA	102	Dubious	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YAL067C	SEO1	593	Verified	other	33	222	33	222	2037	1782	2037	NA	NA	NA	NA	NA
YAL067W-A	NA	75	Uncharacterized	other	NA	NA	48	123	399	228	399	NA	NA	NA	NA	NA
YAL068C	PAU8	120	Verified	other	NA	NA	48	123	534	363	534	NA	NA	NA	NA	NA
YAL068W-A	NA	84	Dubious	other	NA	NA	48	123	426	255	426	NA	NA	NA	NA	NA
YAL069W	NA	104	Dubious	other	NA	NA	48	123	486	315	486	NA	NA	NA	NA	NA
YAR002C-A	ERP1	219	Verified	other	26	115	26	115	801	660	801	NA	NA	NA	NA	NA
YAR002W	NUP60	539	Verified	other	42	100	42	100	1762	1620	1762	NA	NA	NA	NA	NA
YAR003W	SWD1	426	Verified	other	61	495	61	495	1837	1281	1837	NA	NA	NA	NA	NA
YAR007C	RFA1	621	Verified	other	63	73	63	73	2002	1866	2002	NA	NA	NA	NA	NA
YAR008W	SEN34	275	Verified	other	89	97	89	97	1014	828	1014	NA	NA	NA	NA	NA
YAR009C	NA	1196	retrotransposon	other	NA	NA	48	123	3762	NA	NA	NA	NA	NA	NA	NA
YAR010C	NA	440	retrotransposon	other	NA	NA	48	123	1494	NA	NA	NA	NA	NA	NA	NA
YAR014C	BUD14	709	Verified	other	145	178	145	178	2453	2130	2453	NA	NA	NA	NA	NA
YAR015W	ADE1	306	Verified	other	89	120	89	120	1130	921	1130	NA	NA	NA	NA	NA
YAR018C	KIN3	435	Verified	other	16	111	16	111	1435	1308	1435	NA	NA	NA	NA	NA
YAR019C	CDC15	974	Verified	other	16	74	16	74	3015	2925	3015	NA	NA	NA	NA	NA
YAR019W-A	NA	110	Dubious	other	NA	NA	48	123	504	333	504	NA	NA	NA	NA	NA
YAR020C	PAU7	55	Verified	other	NA	NA	48	123	339	168	339	NA	NA	NA	NA	NA
YAR023C	DFP1	179	Uncharacterized	other	554	33	554	33	1127	540	1127	NA	NA	NA	NA	NA
YAR027W	UIP3	235	Verified	MSN2/4	96	83	96	83	887	708	887	NA	NA	NA	NA	NA
YAR028W	KTD1	234	Uncharacterized	other	39	198	39	198	942	705	942	NA	NA	NA	NA	NA
YAR029W	DFP2	74	Uncharacterized	other	1189	264	1189	264	1678	225	1678	NA	NA	NA	NA	NA
YAR030C	NA	113	Dubious	other	NA	NA	48	123	513	342	513	NA	NA	NA	NA	NA
YAR031W	PRM9	298	Verified	other	NA	NA	48	123	1068	897	1068	NA	NA	NA	NA	NA
YAR033W	MST28	234	Verified	other	60	93	60	93	858	705	858	NA	NA	NA	NA	NA
YAR035C-A	NA	26	Uncharacterized	other	NA	NA	48	123	252	81	252	NA	NA	NA	NA	NA
YAR035W	YAT1	687	Verified	other	44	104	44	104	2212	2064	2212	NA	NA	NA	NA	NA
YAR042W	SWH1	1188	Verified	other	36	164	36	164	3767	3567	3767	NA	NA	NA	NA	NA
YAR047C	NA	106	Dubious	other	NA	NA	48	123	492	321	492	NA	NA	NA	NA	NA
YAR050W	FLO1	1537	Verified	other	NA	NA	48	123	4785	4614	4785	NA	NA	NA	NA	NA
YAR053W	NA	98	Dubious	other	NA	NA	48	123	468	297	468	NA	NA	NA	NA	NA
YAR060C	NA	111	Dubious	other	NA	NA	48	123	507	336	507	NA	NA	NA	NA	NA
YAR064W	NA	99	Uncharacterized	other	NA	NA	48	123	471	300	471	NA	NA	NA	NA	NA
YAR066W	NA	203	Uncharacterized	other	NA	NA	48	123	783	612	783	NA	NA	NA	NA	NA
YAR068W	NA	161	Uncharacterized	other	NA	NA	48	123	657	486	657	NA	NA	NA	NA	NA
YAR069C	NA	97	Dubious	other	NA	NA	48	123	465	294	465	NA	NA	NA	NA	NA
YAR070C	NA	99	Dubious	other	NA	NA	48	123	471	300	471	NA	NA	NA	NA	NA
YAR071W	PHO11	467	Verified	other	NA	NA	48	123	1575	1404	1575	NA	NA	NA	NA	NA
YAR073W	IMD1	403	Dubious	other	NA	NA	48	123	1383	1212	1383	NA	NA	NA	NA	NA
YAR075W	NA	157	Dubious	other	NA	NA	48	123	645	474	645	NA	NA	NA	NA	NA
YBL001C	ECM15	104	Verified	MSN2/4	45	96	45	96	456	315	456	NA	NA	NA	NA	NA
YBL002W	HTB2	131	Verified	other	53	212	53	212	661	396	661	NA	NA	NA	NA	NA
YBL003C	HTA2	132	Verified	other	35	195	35	195	629	399	629	NA	NA	NA	NA	NA
YBL004W	UTP20	2493	Verified	RiBi	NA	NA	48	123	7653	7482	7653	NA	NA	NA	NA	NA
YBL005W	PDR3	976	Verified	other	62	285	62	285	3278	2931	3278	NA	NA	NA	NA	NA
YBL005W-A	NA	440	retrotransposon	other	NA	NA	48	123	1494	NA	NA	NA	NA	NA	NA	NA
YBL005W-B	NA	1755	retrotransposon	other	NA	NA	48	123	5439	NA	NA	NA	NA	NA	NA	NA
YBL006C	LDB7	180	Verified	other	21	182	21	182	746	543	746	NA	NA	NA	NA	NA
YBL006W-A	NA	49	Dubious	other	NA	NA	48	123	321	150	321	NA	NA	NA	NA	NA
YBL007C	SLA1	1244	Verified	other	52	84	52	84	3871	3735	3871	NA	NA	NA	NA	NA
YBL008W	HIR1	840	Verified	other	64	81	64	81	2668	2523	2668	NA	NA	NA	NA	NA
YBL008W-A	NA	79	Uncharacterized	other	NA	NA	48	123	411	240	411	NA	NA	NA	NA	NA
YBL009W	ALK2	676	Verified	other	34	118	34	118	2183	2031	2183	NA	NA	NA	NA	NA
YBL010C	LAA2	280	Verified	other	20	208	20	208	1071	843	1071	NA	NA	NA	NA	NA
YBL011W	SCT1	759	Verified	other	93	181	93	181	2554	2280	2554	NA	NA	NA	NA	NA
YBL012C	NA	133	Dubious	other	NA	NA	48	123	573	402	573	NA	NA	NA	NA	NA
YBL013W	FMT1	401	Verified	other	NA	NA	48	123	1377	1206	1377	NA	NA	NA	NA	NA
YBL014C	RRN6	894	Verified	other	29	117	29	117	2831	2685	2831	NA	NA	NA	NA	NA
YBL015W	ACH1	526	Verified	other	85	251	85	251	1917	1581	1917	NA	NA	NA	NA	NA
YBL016W	FUS3	353	Verified	other	NA	NA	48	123	1233	1062	1233	NA	NA	NA	NA	NA
YBL017C	PEP1	1579	Verified	other	NA	NA	48	123	4911	4740	4911	NA	NA	NA	NA	NA
YBL018C	POP8	133	Verified	other	41	65	41	65	508	477	583	NA	NA	NA	NA	NA
YBL019W	APN2	520	Verified	other	40	112	40	112	1715	1563	1715	NA	NA	NA	NA	NA
YBL020W	RFT1	574	Verified	other	55	80	55	80	1860	1725	1860	NA	NA	NA	NA	NA
YBL021C	HAP3	144	Verified	other	32	170	32	170	637	435	637	NA	NA	NA	NA	NA
YBL022C	PIM1	1133	Verified	other	119	76	119	76	3597	3402	3597	NA	NA	NA	NA	NA
YBL023C	MCM2	868	Verified	other	75	174	75	174	2856	2607	2856	NA	NA	NA	NA	NA
YBL024W	NCL1	684	Verified	other	23	125	23	125	2203	2055	2203	NA	NA	NA	NA	NA
YBL025W	RRN10	145	Verified	other	58	466	58	466	962	438	962	NA	NA	NA	NA	NA
YBL026W	LSM2	95	Verified	other	65	134	65	134	487	416	615	NA	NA	NA	NA	NA
YBL027W	RPL19B	189	Verified	RP	31	96	31	96	697	954	1081	NA	NA	NA	NA	NA
YBL028C	NA	106	Verified	other	39	217	39	217	577	321	577	NA	NA	NA	NA	NA
YBL029C-A	NA	94	Verified	other	90	128	90	128	503	285	503	NA	NA	NA	NA	NA
YBL029W	NA	376	Uncharacterized	other	NA	NA	48	123	1302	1131	1302	NA	NA	NA	NA	NA
YBL030C	PET9	318	Verified	other	121	267	121	267	1345	957	1345	NA	NA	NA	NA	NA
YBL031W	SHE1	338	Verified	other	30	150	30	150	1197	1017	1197	NA	NA	NA	NA	NA
YBL032W	HEK2	381	Verified	other	76	203	76	203	1425	1146	1425	NA	NA	NA	NA	NA
YBL033C	RIB1	345	Verified	other	28	70	28	70	1136	1038	1136	NA	NA	NA	NA	NA
YBL034C	STU1	1513	Verified	other	NA	NA	48	123	4713	4542	4713	NA	NA	NA	NA	NA
YBL035C	POL12	705	Verified	other	81	63	81	63	2262	2118	2262	NA	NA	NA	NA	NA
YBL036C	NA	257	Verified	other	13	146	13	146	933	774	933	NA	NA	NA	NA	NA
YBL037W	APL3	1025	Verified	other	98	132	98	132	3308	3078	3308	NA	NA	NA	NA	NA
YBL038W	MRPL16	232	Verified	other	63	92	63	92	854	699	854	NA	NA	NA	NA	NA
YBL039C	URA7	579	Verified	other	65	184	65	184	1989	1740	1989	NA	NA	NA	NA	NA
YBL039C-A	NA	27	Dubious	other	756	1143	756	1143	1983	84	1983	NA	NA	NA	NA	NA
YBL039W-B	MIN6	59	Uncharacterized	other	211	135	211	135	526	180	526	NA	NA	NA	NA	NA
YBL040C	ERD2	219	Verified	other	43	94	43	94	797	757	894	NA	NA	NA	NA	NA
YBL041W	PRE7	241	Verified	other	35	75	35	75	836	726	836	NA	NA	NA	NA	NA
YBL042C	FUI1	639	Verified	other	61	140	61	140	2121	1920	2121	NA	NA	NA	NA	NA
YBL043W	ECM13	257	Verified	other	133	183	133	183	1090	774	1090	NA	NA	NA	NA	NA
YBL044W	NA	122	Uncharacterized	other	NA	NA	48	123	540	369	540	NA	NA	NA	NA	NA
YBL045C	COR1	457	Verified	other	171	186	171	186	1731	1374	1731	NA	NA	NA	NA	NA
YBL046W	PSY4	441	Verified	other	0	183	0	183	1509	1326	1509	NA	NA	NA	NA	NA
YBL047C	EDE1	1381	Verified	other	161	141	161	141	4448	4146	4448	NA	NA	NA	NA	NA
YBL048W	RRT1	103	Uncharacterized	other	NA	NA	48	123	483	312	483	NA	NA	NA	NA	NA
YBL049W	MOH1	138	Verified	MSN2/4	61	259	61	259	737	417	737	NA	NA	NA	NA	NA
YBL050W	SEC17	292	Verified	other	67	67	67	67	1013	995	1129	NA	NA	NA	NA	NA
YBL051C	PIN4	668	Verified	other	63	447	63	447	2517	2007	2517	NA	NA	NA	NA	NA
YBL052C	SAS3	831	Verified	other	236	73	236	73	2805	2496	2805	NA	NA	NA	NA	NA
YBL053W	NA	124	Dubious	other	NA	NA	48	123	546	375	546	NA	NA	NA	NA	NA
YBL054W	TOD6	525	Verified	other	115	145	115	145	1838	1578	1838	NA	NA	NA	NA	NA
YBL055C	NA	418	Verified	other	359	94	359	94	1710	1257	1710	NA	NA	NA	NA	NA
YBL056W	PTC3	468	Verified	other	82	269	82	269	1758	1407	1758	NA	NA	NA	NA	NA
YBL057C	PTH2	208	Verified	translation factors	25	73	25	73	725	627	725	NA	NA	NA	NA	NA
YBL058W	SHP1	423	Verified	other	31	117	31	117	1420	1272	1420	NA	NA	NA	NA	NA
YBL059C-A	CMC2	109	Verified	other	17	178	17	178	525	415	610	NA	NA	NA	NA	NA
YBL059W	IAI11	193	Uncharacterized	other	NA	NA	48	123	753	651	822	NA	NA	NA	NA	NA
YBL060W	YEL1	687	Verified	other	18	38	18	38	2120	2064	2120	NA	NA	NA	NA	NA
YBL061C	SKT5	696	Verified	other	100	68	100	68	2259	2091	2259	NA	NA	NA	NA	NA
YBL062W	NA	126	Dubious	other	NA	NA	48	123	552	381	552	NA	NA	NA	NA	NA
YBL063W	KIP1	1111	Verified	other	0	78	0	78	3414	3336	3414	NA	NA	NA	NA	NA
YBL064C	PRX1	261	Verified	MSN2/4	30	65	30	65	881	786	881	NA	NA	NA	NA	NA
YBL065W	NA	114	Dubious	other	NA	NA	48	123	516	345	516	NA	NA	NA	NA	NA
YBL066C	SEF1	1148	Verified	other	39	327	39	327	3813	3447	3813	NA	NA	NA	NA	NA
YBL067C	UBP13	747	Verified	other	152	142	152	142	2538	2244	2538	NA	NA	NA	NA	NA
YBL068W	PRS4	326	Verified	other	42	164	42	164	1187	981	1187	NA	NA	NA	NA	NA
YBL068W-A	NA	78	Dubious	other	1125	147	1125	147	1509	237	1509	NA	NA	NA	NA	NA
YBL069W	AST1	429	Verified	other	81	147	81	147	1518	1290	1518	NA	NA	NA	NA	NA
YBL070C	NA	106	Dubious	other	NA	NA	48	123	492	321	492	NA	NA	NA	NA	NA
YBL071C	NA	102	Uncharacterized	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YBL071C-B	NA	32	Uncharacterized	other	NA	NA	48	123	270	99	270	NA	NA	NA	NA	NA
YBL071W-A	KTI11	82	Verified	translation factors	35	438	35	438	722	249	722	NA	NA	NA	NA	NA
YBL072C	RPS8A	200	Verified	RP	32	111	32	111	746	603	746	NA	NA	NA	NA	NA
YBL073W	NA	103	Dubious	other	NA	NA	48	123	483	312	483	NA	NA	NA	NA	NA
YBL074C	AAR2	355	Verified	other	19	289	19	289	1376	1068	1376	NA	NA	NA	NA	NA
YBL075C	SSA3	649	Verified	other	166	81	166	81	2197	1950	2197	NA	NA	NA	NA	NA
YBL076C	ILS1	1072	Verified	other	21	90	21	90	3330	3219	3330	NA	NA	NA	NA	NA
YBL077W	NA	143	Dubious	other	NA	NA	48	123	603	432	603	NA	NA	NA	NA	NA
YBL078C	ATG8	117	Verified	other	32	164	32	164	550	354	550	NA	NA	NA	NA	NA
YBL079W	NUP170	1502	Verified	other	NA	NA	48	123	4680	4509	4680	NA	NA	NA	NA	NA
YBL080C	PET112	541	Verified	other	44	105	44	105	1775	1626	1775	NA	NA	NA	NA	NA
YBL081W	NA	368	Uncharacterized	other	314	125	314	125	1546	1107	1546	NA	NA	NA	NA	NA
YBL082C	ALG3	458	Verified	other	46	54	46	54	1477	1377	1477	NA	NA	NA	NA	NA
YBL083C	NA	141	Dubious	other	1035	55	1035	55	1516	426	1516	NA	NA	NA	NA	NA
YBL084C	CDC27	758	Verified	other	NA	NA	48	123	2448	2277	2448	NA	NA	NA	NA	NA
YBL085W	BOI1	980	Verified	other	192	116	192	116	3251	2943	3251	NA	NA	NA	NA	NA
YBL086C	NA	466	Uncharacterized	other	70	47	70	47	1518	1401	1518	NA	NA	NA	NA	NA
YBL087C	RPL23A	137	Verified	RP	38	105	38	105	557	918	1061	NA	NA	NA	NA	NA
YBL088C	TEL1	2787	Verified	other	NA	NA	48	123	8535	8364	8535	NA	NA	NA	NA	NA
YBL089W	AVT5	459	Verified	other	39	84	39	84	1503	1380	1503	NA	NA	NA	NA	NA
YBL090W	MRP21	177	Verified	other	17	123	17	123	674	534	674	NA	NA	NA	NA	NA
YBL091C	MAP2	421	Verified	other	31	146	31	146	1443	1266	1443	NA	NA	NA	NA	NA
YBL091C-A	SCS22	175	Verified	other	13	132	13	132	673	616	761	NA	NA	NA	NA	NA
YBL092W	RPL32	130	Verified	RP	42	97	42	97	532	393	532	NA	NA	NA	NA	NA
YBL093C	ROX3	220	Verified	other	90	150	90	150	903	663	903	NA	NA	NA	NA	NA
YBL094C	NA	110	Dubious	other	920	608	920	608	1861	333	1861	NA	NA	NA	NA	NA
YBL095W	MRX3	270	Uncharacterized	other	21	118	21	118	952	813	952	NA	NA	NA	NA	NA
YBL096C	NA	102	Dubious	other	1368	92	1368	92	1769	309	1769	NA	NA	NA	NA	NA
YBL097W	BRN1	754	Verified	other	58	170	58	170	2493	2265	2493	NA	NA	NA	NA	NA
YBL098W	BNA4	460	Verified	other	NA	NA	48	123	1554	1383	1554	NA	NA	NA	NA	NA
YBL099W	ATP1	545	Verified	other	304	213	304	213	2155	1638	2155	NA	NA	NA	NA	NA
YBL100C	NA	104	Dubious	other	NA	NA	48	123	486	315	486	NA	NA	NA	NA	NA
YBL100W-A	NA	438	retrotransposon	other	NA	NA	48	123	1488	NA	NA	NA	NA	NA	NA	NA
YBL100W-B	NA	1770	retrotransposon	other	NA	NA	48	123	5484	NA	NA	NA	NA	NA	NA	NA
YBL100W-C	NA	39	Uncharacterized	other	55	140	55	140	315	120	315	NA	NA	NA	NA	NA
YBL101C	ECM21	1117	Verified	other	107	165	107	165	3626	3354	3626	NA	NA	NA	NA	NA
YBL102W	SFT2	215	Verified	other	88	166	88	166	902	648	902	NA	NA	NA	NA	NA
YBL103C	RTG3	486	Verified	other	260	378	260	378	2099	1461	2099	NA	NA	NA	NA	NA
YBL104C	SEA4	1038	Verified	other	4	33	4	33	3154	3117	3154	NA	NA	NA	NA	NA
