# Run started 2022-06-16 10:21:15.533919
# Command: /home/jabard89/Dropbox/code_JB/repos/rnaseq_tools/scripts/analysis/count_reads_from_bam_transcriptome_single.py sgd_20210422_orf_coding_all.fasta Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_Aligned.out.bam Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_dist.tsv.gz Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_counts.tsv -f 0 -b 0 -m 100
# Parameters:
#	invert_strands: False
#	in_fasta: sgd_20210422_orf_coding_all.fasta
#	in_bam: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_Aligned.out.bam
#	out_dist: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_dist.tsv.gz
#	out_counts: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_counts.tsv
#	trim_front: 0
#	trim_back: 0
#	min_length: 100
Count	CDS_length	Eff_length	ORF	TPM
45	1482	1482	YAL010C	1.9860385975488668
38	780	780	YAL009W	3.1864885942895147
47	597	597	YAL008W	5.149284663080915
89	648	648	YAL007C	8.983351129612497
1901	1929	1929	YAL005C	64.45747125372579
0	648	648	YAL004W	0.0
1225	621	621	YAL003W	129.02321602863088
115	3825	3825	YAL002W	1.966481093276708
233	3483	3483	YAL001C	4.375481187770498
144	1620	1620	YAR002W	5.813944101861571
257	660	660	YAR002C-A	25.469039218950407
91	1281	1281	YAR003W	4.646389753536912
209	1866	1866	YAR007C	7.325849983655959
68	828	828	YAR008W	5.371578789763409
14	3591	3591	YAR009C	0.2549975483272619
0	1323	1323	YAR010C	0.0
229	2130	2130	YAR014C	7.032006334469894
265	921	921	YAR015W	18.81956661636787
57	1308	1308	YAR018C	2.850299430671814
69	2925	2925	YAR019C	1.5429313193401863
1	333	333	YAR019W-A	0.1964170304682963
0	168	168	YAR020C	0.0
10	540	540	YAR023C	1.211238354554494
79	708	708	YAR027W	7.29822432278174
40	705	705	YAR028W	3.7110281501244073
2	225	225	YAR029W	0.5813944101861572
9	342	342	YAR030C	1.721233451209018
25	897	897	YAR031W	1.8229339784264962
7	705	705	YAR033W	0.6494299262717714
37	2064	2064	YAR035W	1.172506895542577
239	3567	3567	YAR042W	4.38246207005335
4	321	321	YAR047C	0.8150388927843324
25	4614	4614	YAR050W	0.35439353676822
7	297	297	YAR053W	1.5415760876148108
0	336	336	YAR060C	0.0
5	1006	1006	YAR061W	0.3250838526140292
0	300	300	YAR064W	0.0
0	612	612	YAR066W	0.0
1	486	486	YAR068W	0.1345820393949438
0	294	294	YAR069C	0.0
0	300	300	YAR070C	0.0
20	1404	1404	YAR071W	0.9317218111957648
1	1212	1212	YAR073W	0.05396606530193291
0	474	474	YAR075W	0.0
2	2379	2379	YBL113C	0.05498686098860251
0	483	483	YBL113W-A	0.0
0	318	318	YBL112C	0.0
0	2004	2004	YBL111C	0.0
0	336	336	YBL109W	0.0
0	129	129	YBL108C-A	0.0
0	306	306	YBL108W	0.0
6	105	105	YBL107W-A	3.737535494053868
45	591	591	YBL107C	4.980218615173301
164	3033	3033	YBL106C	3.5366722281353775
251	3456	3456	YBL105C	4.750325421768406
171	3117	3117	YBL104C	3.588249908872698
44	1461	1461	YBL103C	1.9698167901584378
101	648	648	YBL102W	10.194589484166993
130	3354	3354	YBL101C	2.535150044416383
5	120	120	YBL100W-C	2.725286297747612
0	1317	1317	YBL100W-A	0.0
6	5313	5313	YBL100W-B	0.07386433782715152
14	315	315	YBL100C	2.9069720509307855
517	1638	1638	YBL099W	20.644293273780445
140	1383	1383	YBL098W	6.6210860162197935
124	2265	2265	YBL097W	3.5807735196895765
12	309	309	YBL096C	2.5400726658618513
21	813	813	YBL095W	1.6894763764634642
1	333	333	YBL094C	0.1964170304682963
79	663	663	YBL093C	7.793578914825749
1041	393	393	YBL092W	173.25331517284053
13	528	528	YBL091C-A	1.6103964486690432
235	1266	1266	YBL091C	12.141085876221588
76	534	534	YBL090W	9.308843084441278
49	1380	1380	YBL089W	2.322417888515356
252	8364	8364	YBL088C	1.9706517848849299
1134	414	414	YBL087C	179.15795139975606
24	1401	1401	YBL086C	1.1204603194165772
180	2943	2943	YBL085W	4.000420253574476
61	2277	2277	YBL084C	1.7522262362329835
2	426	426	YBL083C	0.30707451242226613
78	1377	1377	YBL082C	3.704964378637276
40	1107	1107	YBL081W	2.3633919113258424
44	1626	1626	YBL080C	1.769927632485534
735	4509	4509	YBL079W	10.661798689791055
10	354	354	YBL078C	1.8476517272865165
155	432	432	YBL077W	23.467743119493324
3650	3219	3219	YBL076C	74.16436150440845
77	1950	1950	YBL075C	2.5827328606346596
28	1068	1068	YBL074C	1.7147868839760252
4	312	312	YBL073W	0.8385496300761883
305	603	603	YBL072C	33.08307744529439
8	249	249	YBL071W-A	2.1014255789861105
19	309	309	YBL071C	4.021781720947932
14	321	321	YBL070C	2.8526361247451635
67	1290	1290	YBL069W	3.397101059517953
0	237	237	YBL068W-A	0.0
153	981	981	YBL068W	10.201071646614913
225	2244	2244	YBL067C	6.558175582815108
76	3447	3447	YBL066C	1.4421010174330269
5	345	345	YBL065W	0.947925668781778
87	786	786	YBL064C	7.2396918443982345
158	3336	3336	YBL063W	3.0978074463605947
2	381	381	YBL062W	0.34334315562174633
174	2091	2091	YBL061C	5.442752548729807
78	2064	2064	YBL060W	2.4717712933059737
56	330	330	YBL059C-A	11.099347830826636
35	582	582	YBL059W	3.9334029039656255
265	1272	1272	YBL058W	13.62643148873806
80	627	627	YBL057C	8.345374308892207
680	1407	1407	YBL056W	31.610996715878482
111	1257	1257	YBL055C	5.775785757517612
66	1578	1578	YBL054W	2.7356486030622413
5	375	375	YBL053W	0.8720916152792357
219	2496	2496	YBL052C	5.7388240308339125
218	2007	2007	YBL051C	7.104483263485553
213	879	879	YBL050W	15.849446591678943
4	417	417	YBL049W	0.6274040397692344
13	312	312	YBL048W	2.7252862977476116
924	4146	4146	YBL047C	14.576929314725287
50	1326	1326	YBL046W	2.4663224414005533
190	1374	1374	YBL045C	9.044618280734431
1	369	369	YBL044W	0.17725439334943816
0	774	774	YBL043W	0.0
156	1920	1920	YBL042C	5.314308280607843
147	726	726	YBL041W	13.243540025418145
323	660	660	YBL040C	32.00972633354468
6	180	180	YBL039W-B	2.1802290381980893
909	1740	1740	YBL039C	34.1694516503804
59	699	699	YBL038W	5.520751641789154
183	3078	3078	YBL037W	3.8887126119907447
297	774	774	YBL036C	25.09798543972219
99	2118	2118	YBL035C	3.0572616824590773
207	4542	4542	YBL034C	2.98089439172394
58	1038	1038	YBL033C	3.654719196979456
218	1146	1146	YBL032W	12.44214477296292
21	1017	1017	YBL031W	1.3505843599457192
263	957	957	YBL030C	17.97492906100619
10	285	285	YBL029C-A	2.2949779349453574
27	1131	1131	YBL029W	1.5614372422108331
178	321	321	YBL028C	36.26923072890279
1736	570	570	YBL027W	199.204084753257
174	288	288	YBL026W	39.516651317340376
12	438	438	YBL025W	1.7919690724915802
415	2055	2055	YBL024W	13.208686873754846
256	2607	2607	YBL023C	6.42276908836261
663	3402	3402	YBL022C	12.746841731263961
17	435	435	YBL021C	2.5561305965081047
82	1725	1725	YBL020W	3.1091961936042316
33	1563	1563	YBL019W	1.380951214213761
156	402	402	YBL018C	25.381770892455364
1066	4740	4740	YBL017C	14.709646548855465
60	1062	1062	YBL016W	3.6953034545730326
48	1581	1581	YBL015W	1.9857873592696071
145	2685	2685	YBL014C	3.5322146428907595
16	1206	1206	YBL013W	0.8677528510241153
16	402	402	YBL012C	2.603258553072345
258	2280	2280	YBL011W	7.401303840198778
18	843	843	YBL010C	1.3965879959987761
105	2031	2031	YBL009W	3.3814482867178635
3	240	240	YBL008W-A	0.8175858893242836
91	2523	2523	YBL008W	2.3591063314628555
913	3735	3735	YBL007C	15.988346280119321
125	543	543	YBL006C	15.056830374296197
0	150	150	YBL006W-A	0.0
143	2931	2931	YBL005W	3.1911233619480734
0	1323	1323	YBL005W-A	0.0
99	5268	5268	YBL005W-B	1.229172407640153
1747	7482	7482	YBL004W	15.272093543432485
418	399	399	YBL003C	68.52148405765423
212	396	396	YBL002W	35.01579970439356
217	315	315	YBL001C	45.05806678942719
136	2343	2343	YBR001C	3.7965576081298353
48	861	861	YBR002C	3.646376091759871
89	1422	1422	YBR003W	4.093678995772784
69	1302	1302	YBR004C	3.466262756582216
33	642	642	YBR005W	3.3620354327353716
42	1494	1494	YBR006W	1.8387473816128463
37	2211	2211	YBR007C	1.0945518916326908
34	1647	1647	YBR008C	1.3502329198312393
164	312	312	YBR009C	34.38053483312372
983	411	411	YBR010W	156.43541201085563
1503	864	864	YBR011C	113.78070293096279
36	420	420	YBR012C	5.606303241080801
0	1323	1323	YBR012W-A	0.0
10	5271	5271	YBR012W-B	0.1240881638132094
35	390	390	YBR013C	5.869847410533318
94	612	612	YBR014C	10.046153411304923
245	1794	1794	YBR015C	8.93237649428983
30	387	387	YBR016W	5.070300088832766
510	2757	2757	YBR017C	12.099203585212464
4	1101	1101	YBR018C	0.23762714312785715
14	2100	2100	YBR019C	0.4360458076396178
18	1587	1587	YBR020W	0.7418548712205218
46	1902	1902	YBR021W	1.5818696491658064
46	534	534	YBR022W	5.6342997616355115
452	3498	3498	YBR023C	8.451659736411118
24	906	906	YBR024W	1.7326323482368924
1009	1185	1185	YBR025C	55.69243289979423
97	1143	1143	YBR026C	5.550714349218233
11	333	333	YBR027C	2.1605873351512592
110	1578	1578	YBR028C	4.559414338437069
131	1374	1374	YBR029C	6.236026288295845
78	1659	1659	YBR030W	3.075187431816473
185	1089	1089	YBR031W	11.11136011202883
6	303	303	YBR032W	1.2951855672463897
41	2760	2760	YBR033W	0.9716238105013225
245	1047	1047	YBR034C	15.305332789642748
261	687	687	YBR035C	24.84889864496512
207	1233	1233	YBR036C	10.980715593844392
75	888	888	YBR037C	5.524228981920834
284	2892	2892	YBR038W	6.423081398840845
230	936	936	YBR039W	16.07220124312694
2	897	897	YBR040W	0.14583471827411967
200	2010	2010	YBR041W	6.508146382680864
106	1194	1194	YBR042C	5.806640151984862
114	2070	2070	YBR043C	3.6021175413707565
71	1719	1719	YBR044C	2.7015054400011227
32	1920	1920	YBR045C	1.0901145190990447
104	1005	1005	YBR046C	6.768472237988099
9	528	528	YBR047W	1.1148898490785684
688	471	471	YBR048W	95.54124702422202
257	2433	2433	YBR049C	6.908987211059297
2	1017	1017	YBR050C	0.1286270818995923
0	351	351	YBR051W	0.0
175	633	633	YBR052C	18.082468326287472
134	1077	1077	YBR053C	8.13790225956947
85	1035	1035	YBR054W	5.371578789763409
176	2700	2700	YBR055C	4.263559008031819
291	1506	1506	YBR056W	12.638379484375378
0	201	201	YBR056W-A	0.0
0	159	159	YBR056C-B	0.0
48	1101	1101	YBR057C	2.8515257175342863
245	2346	2346	YBR058C	6.830640848574576
177	243	243	YBR058C-A	47.64204194581009
315	3327	3327	YBR059C	6.19271548270873
119	1863	1863	YBR060C	4.1778946142604285
53	933	933	YBR061C	3.7155028625240747
55	543	543	YBR062C	6.625005364690327
37	1215	1215	YBR063C	1.9918141830451679
0	429	429	YBR064W	0.0
51	1095	1095	YBR065C	3.0463474232356864
79	663	663	YBR066C	7.793578914825749
113	633	633	YBR067C	11.676108119259908
613	1830	1830	YBR068C	21.909514760908667
1015	1860	1860	YBR069C	35.69245925437194
35	714	714	YBR070C	3.20621917382072
26	636	636	YBR071W	2.6738658015636947
33	645	645	YBR072W	3.3463980586296254
1	162	162	YBR072C-A	0.40374611818483136
466	2877	2877	YBR073W	10.594230779982375
481	2931	2931	YBR074W	10.733778581098067
5	1065	1065	YBR076W	0.30707451242226613
4	267	267	YBR076C-A	0.9798782194148716
57	489	489	YBR077C	7.624113814557736
1686	1290	1290	YBR078W	85.48525949772043
1080	2895	2895	YBR079C	24.400490790196233
272	2277	2277	YBR080C	7.813205512383139
309	3999	3999	YBR081C	5.053944282094595
182	447	447	YBR082C	26.63098556725183
76	1461	1461	YBR083W	3.4024108193645746
1473	2928	2928	YBR084W	32.90448128346092
1268	570	570	YBR084C-A	145.50160107553563
44	924	924	YBR085W	3.1146129117115557
86	258	258	YBR085C-A	21.802290381980892
579	2841	2841	YBR086C	13.330017033967197
72	1065	1065	YBR087W	4.421872978880633
12	777	777	YBR088C	1.0101447281226668
6	600	600	YBR089W	0.6540687114594268
71	300	300	YBR089C-A	15.479626171206435
18	369	369	YBR090C	3.190579080289887
22	330	330	YBR091C	4.360458076396178
269	1404	1404	YBR092C	12.531658360583036
115	1404	1404	YBR093C	5.357400414375647
120	2262	2262	YBR094W	3.469860538246296
70	1293	1293	YBR095C	3.5409752360525815
216	693	693	YBR096W	20.386557240293826
201	4365	4365	YBR097W	3.011862795036536
40	2076	2076	YBR098W	1.260247998958433
0	384	384	YBR099C	0.0
142	873	873	YBR101C	10.63891833072607
130	2262	2262	YBR102C	3.759015583100154
119	1608	1608	YBR103W	4.840433872118892
2	144	144	YBR103C-A	0.9084287659158706
138	990	990	YBR104W	9.117321432464738
25	1089	1089	YBR105C	1.5015351502741663
1046	567	567	YBR106W	120.66241132038104
30	738	738	YBR107C	2.658815900241572
44	2844	2844	YBR108W	1.0119206506404634
119	444	444	YBR109C	17.530219969295448
15	225	225	YBR109W-A	4.360458076396179
199	1350	1350	YBR110W	9.641457302253773
153	696	696	YBR111C	14.37823460535809
64	291	291	YBR111W-A	14.38501633450286
307	2901	2901	YBR112C	6.9217199041035515
12	483	483	YBR113W	1.6250154321973338
56	2373	2373	YBR114W	1.5435249827951074
663	4179	4179	YBR115C	10.376825931983726
3	528	528	YBR116C	0.3716299496928561
17	2046	2046	YBR117C	0.5434588511637467
703	1377	1377	YBR118W	33.39217895105135
51	897	897	YBR119W	3.7187853159900524
17	489	489	YBR120C	2.273858506096167
1713	2004	2004	YBR121C	55.90916680289412
0	159	159	YBR121C-A	0.0
80	534	534	YBR122C	9.798782194148714
72	1950	1950	YBR123C	2.4150229346194223
4	360	360	YBR124W	0.7267430127326964
78	1182	1182	YBR125C	4.316189466483528
365	1488	1488	YBR126C	16.044024172223843
125	207	207	YBR126W-A	39.496902865907416
25	144	144	YBR126W-B	11.355359573948382
1032	1554	1554	YBR127C	43.43622330927468
9	1035	1035	YBR128C	0.5687554012690669
128	987	987	YBR129C	8.482350057427217
134	1278	1278	YBR130C	6.8579974440972755
52	2115	2115	YBR131W	1.608112198387243
77	1791	1791	YBR132C	2.8120207025335495
220	2484	2484	YBR133C	5.792879086999754
11	402	402	YBR134W	1.7897402552372375
13	453	453	YBR135W	1.8770183772566333
271	7107	7107	YBR136W	2.4940568566976875
42	540	540	YBR137W	5.087201089128875
53	1575	1575	YBR138C	2.2009931242761662
143	1527	1527	YBR139W	6.125201423621351
869	9279	9279	YBR140C	6.125506091801292
25	1014	1014	YBR141C	1.6125954424542082
268	2322	2322	YBR142W	7.549113465595451
902	1314	1314	YBR143C	44.898780649650156
0	315	315	YBR144C	0.0
39	1056	1056	YBR145W	2.415594673003565
131	837	837	YBR146W	10.236917706234758
5	891	891	YBR147W	0.367041925622574
18	1830	1830	YBR148W	0.6433462735666493
202	1035	1035	YBR149W	12.765399006261278
169	3285	3285	YBR150C	3.364919702789745
243	951	951	YBR151W	16.712796728143086
20	876	876	YBR152W	1.4933075604096504
23	735	735	YBR153W	2.0467456276961657
165	648	648	YBR154C	16.654527375124292
94	1158	1158	YBR155W	5.309366051570477
39	2097	2097	YBR156C	1.2164368024281185
31	768	768	YBR157C	2.640121100942999
543	1650	1650	YBR158W	21.52480668621023
476	1044	1044	YBR159W	29.821523625927888
66	897	897	YBR160W	4.81254570304595
44	1131	1131	YBR161W	2.5445643947139502
829	1368	1368	YBR162C	39.63618141811877
170	198	198	YBR162W-A	56.15741462025382
113	1758	1758	YBR163W	4.204195926900753
186	552	552	YBR164C	22.039271799176333
55	834	834	YBR165W	4.313402773413487
145	1359	1359	YBR166C	6.978658069287484
17	423	423	YBR167C	2.6286449396714553
52	1242	1242	YBR168W	2.7384519320362477
116	2082	2082	YBR169C	3.6441868649996882
146	1743	1743	YBR170C	5.47871668807093
80	621	621	YBR171W	8.426005944726915
118	2223	2223	YBR172C	3.471889696455797
56	447	447	YBR173C	8.194149405308256
2	315	315	YBR174C	0.4152817215615408
85	948	948	YBR175W	5.864540134393595
42	939	939	YBR176W	2.9255469522146886
116	1356	1356	YBR177C	5.595278062632265
5	375	375	YBR178W	0.8720916152792357
114	2568	2568	YBR179C	2.903576055544184
7	1719	1719	YBR180W	0.2663456067606741
583	711	711	YBR181C	53.63179448394456
21	1359	1359	YBR182C	1.0107022031381871
1	195	195	YBR182C-A	0.33541985203047525
40	951	951	YBR183W	2.751077650723141
24	1572	1572	YBR184W	0.9985781854342393
54	837	837	YBR185C	4.219798138447914
20	1695	1695	YBR186W	0.7717624913975537
427	843	843	YBR187W	33.13017079397097
24	423	423	YBR188C	3.7110281501244073
1384	588	588	YBR189W	153.95086677888548
73	312	312	YBR190W	15.303530748890434
1604	483	483	YBR191W	217.2103961037103
124	1134	1134	YBR192W	7.152074093559871
25	672	672	YBR193C	2.433291337274653
9	372	372	YBR194W	1.5824243019179682
35	1269	1269	YBR195C	1.803972017421587
6025	1665	1665	YBR196C	236.68252171429708
2	150	150	YBR196C-A	0.8720916152792357
4	105	105	YBR196C-B	2.491690329369245
18	654	654	YBR197C	1.8001891141085142
169	2397	2397	YBR198C	4.611498215963419
314	1395	1395	YBR199W	14.722406838584947
110	1656	1656	YBR200W	4.3446593152498165
0	165	165	YBR200W-A	0.0
45	636	636	YBR201W	4.627844656552548
2	204	204	YBR201C-A	0.641243834764144
173	2538	2538	YBR202W	4.458387985913351
35	2775	2775	YBR203W	0.8249515279668446
57	1128	1128	YBR204C	3.305134446204551
240	1215	1215	YBR205W	12.919875781914604
11	324	324	YBR206W	2.2206036500165722
217	1398	1398	YBR207W	10.15256869718853
410	5508	5508	YBR208C	4.868703189875907
2	318	318	YBR209W	0.4113639694713376
47	429	429	YBR210W	7.1657877479237895
65	975	975	YBR211C	4.360458076396179
98	2019	2019	YBR212W	3.17477631119484
17	825	825	YBR213W	1.3477779508860916
54	1584	1584	YBR214W	2.2297796981571367
54	1878	1878	YBR215W	1.880708754995157
100	2025	2025	YBR216C	3.229968945478651
46	561	561	YBR217W	5.363130254391021
948	3543	3543	YBR218C	17.500907097474926
2	384	384	YBR219C	0.34066078721845144
136	1683	1683	YBR220C	5.285403728965065
594	1101	1101	YBR221C	35.28763075448679
2	105	105	YBR221W-A	1.2458451646846225
187	1632	1632	YBR222C	7.494537318805933
21	1635	1635	YBR223C	0.84008825325064
0	120	120	YBR223W-A	0.0
1	516	516	YBR224W	0.12675750222081913
58	2703	2703	YBR225W	1.4034770723139753
8	411	411	YBR226C	1.273126445663118
65	1563	1563	YBR227C	2.720055421936196
28	915	915	YBR228W	2.0015217399851313
323	2865	2865	YBR229C	7.373968370031234
44	405	405	YBR230C	7.105931680053032
12	201	201	YBR230W-A	3.904887829608518
39	912	912	YBR231C	2.797004358214654
1	360	360	YBR232C	0.1816857531831741
18	1242	1242	YBR233W	0.947925668781778
33	285	285	YBR233W-A	7.573427185319679
214	1155	1155	YBR234C	12.118675692841327
245	3363	3363	YBR235W	4.764996559844174
149	1311	1311	YBR236C	7.433732876236049
86	2550	2550	YBR237W	2.2058787915886553
110	2196	2196	YBR238C	3.2763004672375655
20	1590	1590	YBR239C	0.8227279389426752
3	1353	1353	YBR240C	0.1450263218313585
37	1467	1467	YBR241C	1.649662053442317
70	717	717	YBR242W	6.385608061668044
111	1347	1347	YBR243C	5.389875795990823
193	489	489	YBR244W	25.814981863327073
298	3390	3390	YBR245C	5.7496305609117755
47	1164	1164	YBR246W	2.6409990926626343
215	1452	1452	YBR247C	9.684901719268371
277	1659	1659	YBR248C	10.920857930937988
379	1113	1113	YBR249C	22.27242063280528
4	1572	1572	YBR250W	0.16642969757237322
69	924	924	YBR251W	4.884279338820395
148	444	444	YBR252W	21.802290381980892
26	366	366	YBR253W	4.646389753536912
106	528	528	YBR254C	13.130924889147582
81	2085	2085	YBR255W	2.540986361065399
9	363	363	YBR255C-A	1.6216579622960996
209	717	717	YBR256C	19.065601212694588
41	840	840	YBR257W	3.192478234504345
12	429	429	YBR258C	1.829562829257138
64	2067	2067	YBR259W	2.025176465089662
152	2001	2001	YBR260C	4.968437988097595
72	699	699	YBR261C	6.7371884442172725
20	321	321	YBR262C	4.075194463921662
525	1473	1473	YBR263W	23.312021284195453
46	600	600	YBR264C	5.014526787855606
64	963	963	YBR265W	4.346874094849773
48	1182	1182	YBR267W	2.656116594759094
0	453	453	YBR266C	0.0
115	318	318	YBR268W	23.653428244601912
22	417	417	YBR269C	3.4507222187307884
14	1638	1638	YBR270C	0.5590330867174588
77	1260	1260	YBR271W	3.99708657002983
101	1443	1443	YBR272C	4.578027710145676
49	1311	1311	YBR273C	2.4446504089635326
85	1584	1584	YBR274W	3.5098384137658636
308	5751	5751	YBR275C	3.5029240676317763
304	2424	2424	YBR276C	8.202841925893802
0	402	402	YBR277C	0.0
32	606	606	YBR278W	3.4538281793237062
138	1338	1338	YBR279W	6.746000163034446
33	1914	1914	YBR280C	1.1277046749300463
190	2637	2637	YBR281C	4.712668000655711
28	441	441	YBR282W	4.152817215615408
852	1473	1473	YBR283C	37.83208025549434
13	2394	2394	YBR284W	0.3551751565986862
3	435	435	YBR285W	0.4510818699720185
1204	1614	1614	YBR286W	48.7917427879275
157	1284	1284	YBR287W	7.997569135446262
149	1452	1452	YBR288C	6.711862121725524
101	2718	2718	YBR289W	2.4304981551656404
107	966	966	YBR290W	7.244860468546446
34	900	900	YBR291C	2.4709262432911676
6	372	372	YBR292C	1.0549495346119786
58	1425	1425	YBR293W	2.6621744045366142
27	2580	2580	YBR294W	0.6844905119924234
73	3651	3651	YBR295W	1.3077791272675476
47	1725	1725	YBR296C	1.7821002573097426
1	120	120	YBR296C-A	0.5450572595495223
19	1407	1407	YBR297W	0.8832484376495457
28	1845	1845	YBR298C	0.9926246027568537
0	222	222	YBR298C-A	0.0
2	1755	1755	YBR299W	0.07453774489566117
1	498	498	YBR300C	0.1313390986866319
1	363	363	YBR301W	0.18018421803289997
0	1140	1140	YBR302C	0.0
5	744	744	YCL076W	0.4395623060883245
0	441	441	YCL075W	0.0
0	927	927	YCL074W	0.0
0	1848	1848	YCL073C	0.0
0	1377	1377	YCL069W	0.0
0	783	783	YCL068C	0.0
0	633	633	YCL067C	0.0
0	528	528	YCL066W	0.0
0	369	369	YCL065W	0.0
385	1083	1083	YCL064C	23.25175013036744
79	1272	1272	YCL063W	4.0622191985294585
168	3291	3291	YCL061C	3.3389104687081037
272	951	951	YCL059C	18.707328024917363
15	459	459	YCL058C	2.1374794492138127
0	342	342	YCL058W-A	0.0
16	294	294	YCL057C-A	3.559557613384636
396	2139	2139	YCL057W	12.108985962502715
42	435	435	YCL056C	6.315146179608258
104	1008	1008	YCL055W	6.748327975375039
487	2526	2526	YCL054W	12.610113320694415
79	1251	1251	YCL052C	4.130409928480793
60	1752	1752	YCL051W	2.2399613406144754
199	966	966	YCL050C	13.474086291969561
40	939	939	YCL049C	2.786235192585418
0	240	240	YCL048W-A	0.0
2	1392	1392	YCL048W	0.09397538957750386
68	777	777	YCL047C	5.724153459361778
367	2283	2283	YCL045C	10.514376570547947
2	324	324	YCL046W	0.40374611818483136
40	1254	1254	YCL044C	2.086343577223052
1086	1569	1569	YCL043C	45.2720599518762
41	495	495	YCL041C	5.417538822189191
19	360	360	YCL042W	3.452029310480308
